🇦🇼  :flag_aw:  Aruba
🇦🇫  :flag_af:  Afghanistan
🇦🇴  :flag_ao:  Angola
🇦🇮  :flag_ai:  Anguilla
🇦🇽  :flag_ax:  Åland Islands
🇦🇱  :flag_al:  Albania
🇦🇩  :flag_ad:  Andorra
🇦🇪  :flag_ae:  United Arab Emirates
🇦🇷  :flag_ar:  Argentina
🇦🇲  :flag_am:  Armenia
🇦🇸  :flag_as:  American Samoa
🇦🇶  :flag_aq:  Antarctica
🇹🇫  :flag_tf:  French Southern Territories
🇦🇬  :flag_ag:  Antigua and Barbuda
🇦🇺  :flag_au:  Australia
🇦🇹  :flag_at:  Austria
🇦🇿  :flag_az:  Azerbaijan
🇧🇮  :flag_bi:  Burundi
🇧🇪  :flag_be:  Belgium
🇧🇯  :flag_bj:  Benin
🇧🇶  :flag_bq:  Bonaire, Sint Eustatius and Saba
🇧🇫  :flag_bf:  Burkina Faso
🇧🇩  :flag_bd:  Bangladesh
🇧🇬  :flag_bg:  Bulgaria
🇧🇭  :flag_bh:  Bahrain
🇧🇸  :flag_bs:  Bahamas
🇧🇦  :flag_ba:  Bosnia and Herzegovina
🇧🇱  :flag_bl:  Saint Barthélemy
🇧🇾  :flag_by:  Belarus
🇧🇿  :flag_bz:  Belize
🇧🇲  :flag_bm:  Bermuda
🇧🇴  :flag_bo:  Bolivia, Plurinational State of
🇧🇷  :flag_br:  Brazil
🇧🇧  :flag_bb:  Barbados
🇧🇳  :flag_bn:  Brunei Darussalam
🇧🇹  :flag_bt:  Bhutan
🇧🇻  :flag_bv:  Bouvet Island
🇧🇼  :flag_bw:  Botswana
🇨🇫  :flag_cf:  Central African Republic
🇨🇦  :flag_ca:  Canada
🇨🇨  :flag_cc:  Cocos (Keeling) Islands
🇨🇭  :flag_ch:  Switzerland
🇨🇱  :flag_cl:  Chile
🇨🇳  :flag_cn:  China
🇨🇮  :flag_ci:  Côte d'Ivoire
🇨🇲  :flag_cm:  Cameroon
🇨🇩  :flag_cd:  Congo, The Democratic Republic of the
🇨🇬  :flag_cg:  Congo
🇨🇰  :flag_ck:  Cook Islands
🇨🇴  :flag_co:  Colombia
🇰🇲  :flag_km:  Comoros
🇨🇻  :flag_cv:  Cabo Verde
🇨🇷  :flag_cr:  Costa Rica
🇨🇺  :flag_cu:  Cuba
🇨🇼  :flag_cw:  Curaçao
🇨🇽  :flag_cx:  Christmas Island
🇰🇾  :flag_ky:  Cayman Islands
🇨🇾  :flag_cy:  Cyprus
🇨🇿  :flag_cz:  Czechia
🇩🇪  :flag_de:  Germany
🇩🇯  :flag_dj:  Djibouti
🇩🇲  :flag_dm:  Dominica
🇩🇰  :flag_dk:  Denmark
🇩🇴  :flag_do:  Dominican Republic
🇩🇿  :flag_dz:  Algeria
🇪🇨  :flag_ec:  Ecuador
🇪🇬  :flag_eg:  Egypt
🇪🇷  :flag_er:  Eritrea
🇪🇭  :flag_eh:  Western Sahara
🇪🇸  :flag_es:  Spain
🇪🇪  :flag_ee:  Estonia
🇪🇹  :flag_et:  Ethiopia
🇫🇮  :flag_fi:  Finland
🇫🇯  :flag_fj:  Fiji
🇫🇰  :flag_fk:  Falkland Islands (Malvinas)
🇫🇷  :flag_fr:  France
🇫🇴  :flag_fo:  Faroe Islands
🇫🇲  :flag_fm:  Micronesia, Federated States of
🇬🇦  :flag_ga:  Gabon
🇬🇧  :flag_gb:  United Kingdom
🇬🇪  :flag_ge:  Georgia
🇬🇬  :flag_gg:  Guernsey
🇬🇭  :flag_gh:  Ghana
🇬🇮  :flag_gi:  Gibraltar
🇬🇳  :flag_gn:  Guinea
🇬🇵  :flag_gp:  Guadeloupe
🇬🇲  :flag_gm:  Gambia
🇬🇼  :flag_gw:  Guinea-Bissau
🇬🇶  :flag_gq:  Equatorial Guinea
🇬🇷  :flag_gr:  Greece
🇬🇩  :flag_gd:  Grenada
🇬🇱  :flag_gl:  Greenland
🇬🇹  :flag_gt:  Guatemala
🇬🇫  :flag_gf:  French Guiana
🇬🇺  :flag_gu:  Guam
🇬🇾  :flag_gy:  Guyana
🇭🇰  :flag_hk:  Hong Kong
🇭🇲  :flag_hm:  Heard Island and McDonald Islands
🇭🇳  :flag_hn:  Honduras
🇭🇷  :flag_hr:  Croatia
🇭🇹  :flag_ht:  Haiti
🇭🇺  :flag_hu:  Hungary
🇮🇩  :flag_id:  Indonesia
🇮🇲  :flag_im:  Isle of Man
🇮🇳  :flag_in:  India
🇮🇴  :flag_io:  British Indian Ocean Territory
🇮🇪  :flag_ie:  Ireland
🇮🇷  :flag_ir:  Iran, Islamic Republic of
🇮🇶  :flag_iq:  Iraq
🇮🇸  :flag_is:  Iceland
🇮🇱  :flag_il:  Israel
🇮🇹  :flag_it:  Italy
🇯🇲  :flag_jm:  Jamaica
🇯🇪  :flag_je:  Jersey
🇯🇴  :flag_jo:  Jordan
🇯🇵  :flag_jp:  Japan
🇰🇿  :flag_kz:  Kazakhstan
